ts,cheval,cavalier,discipline,epreuve,hauteur,classement_estime,proba,verdict,is_cold_start,model_name,snapshot,id
2026-05-25T05:55:04,HYOUPI,Voir sa fiche,Equifun 30 cm,Club A Poussin Chp des Territoires individuel,,7,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,ac7ddfa818f7
2026-05-25T05:55:04,FLICKA,Voir sa fiche,Equifun 30 cm,Club A Poussin Chp des Territoires individuel,,10,2,cold-start,True,LightGBM,crawl-predict:c36a23a6,7079c0559d86
2026-05-25T05:55:04,ATCHOUM,Voir sa fiche,Equifun 30 cm,Club A Poussin Chp des Territoires individuel,,9,10,cold-start,True,LightGBM,crawl-predict:c36a23a6,f20129dd51e0
2026-05-25T05:55:04,HIGH FLOWN'S BENTLEY,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Chp des Territoires individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,49b773ffd2db
2026-05-25T05:55:04,ROSE,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Chp des Territoires individuel,,1,100,cold-start,True,LightGBM,crawl-predict:c36a23a6,dd0ae975757d
2026-05-25T05:55:04,PEPITO DES MAIX,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Chp des Territoires individuel,,4,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,8e45f18c182a
2026-05-25T05:55:04,GURNOS BROCHFAEL,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Chp des Territoires individuel,,5,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,f83cf1a76172
2026-05-25T05:55:04,FLASHY GIRL 202120920,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Chp des Territoires individuel,,6,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,0aae3af47f6b
2026-05-25T05:55:04,FASTOCHE DU SAULX,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Chp des Territoires individuel,,7,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,1022861510f6
2026-05-25T05:55:04,HEIDI DE YAME,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Chp des Territoires individuel,,8,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,b31ed307536e
2026-05-25T05:55:04,BERGH'S 0810,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Chp des Territoires individuel,,9,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,df091f905694
2026-05-25T05:55:04,HIGH FLOWN'S BENTLEY,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Chp des Territoires individuel,,10,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,c15b4a6cf719
2026-05-25T05:55:04,ROSE,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Chp des Territoires individuel,,2,100,cold-start,True,LightGBM,crawl-predict:c36a23a6,4f6bf1e308d8
2026-05-25T05:55:04,PEPITO DES MAIX,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Chp des Territoires individuel,,11,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,0b70ce87e512
