concours_id,cheval_id,cavalier_id,club_id,cheval_nom,cavalier_nom,club,sexe_cheval,robe_cheval,taille_cheval,discipline_famille,hauteur_cm,niveau_epreuve,type_epreuve,is_equipe,nombre_participants,niveau_num,horse_win_rate,horse_participations,rider_win_rate,rider_participations,club_win_rate,couple_synergy,experience_ratio,horse_wr_x_niveau,horse_wr_x_hauteur,rider_wr_x_niveau,rider_wr_x_hauteur,synergy_x_niveau,pts_qualification,classement,resultat_binaire
2509086,3606,2797,929,KNOCKMA DELIA,LISA PEGON,HARAS DU BOIS COURTIN HBC (91),Femelle,Gris,Catégorie D,CSO,110,Niveau2,GrandPrix,0,3,4,0.3,0,0.3,0,1.0,0.09,0.0,1.2,0.33,1.2,0.33,0.36,10.0,8,1
2509086,1012,3062,264,EVE DU FAUBOURG,MAGALI ROUGON,C H  DE VERSAILLES (78),Femelle,Bai,Catégorie F,CSO,95,Niveau1,GrandPrix,0,13,3,0.3,0,0.3,0,0.3,0.09,0.0,0.8999999999999999,0.285,0.8999999999999999,0.285,0.27,8.0,47,1
2509086,3882,3063,953,BAHINA DU MERISIER,AUDREY GRANDIN,ECURIES DE SAMOIS (77),Femelle,Bai,Catégorie F,CSO,95,Niveau1,GrandPrix,0,13,3,0.3,0,0.3,0,0.0,0.09,0.0,0.8999999999999999,0.285,0.8999999999999999,0.285,0.27,8.0,48,1
2509086,3883,3064,769,TARZAN DU LAC,ELOISE FEDERICO,PONEY CLUB DU LORMOY (91),Hongre,Gris,Catégorie D,CSO,95,Niveau1,GrandPrix,0,13,3,0.3,0,0.3,0,0.3,0.09,0.0,0.8999999999999999,0.285,0.8999999999999999,0.285,0.27,0.0,63,0
2509086,2954,2162,761,NERO PASSO,CELINE MARTIN,ECURIE DU MOULIN DE COTON (77),Hongre,Noir,Catégorie F,CSO,85,Niveau2,GrandPrix,0,1,4,0.3,0,0.3,0,0.3,0.09,0.0,1.2,0.255,1.2,0.255,0.36,0.0,21,0
2509086,3798,2969,896,ARIZONA DU BUHOT,JOSEPHINE RICHARD,HARAS DES BRULYS (77),Femelle,Alezan,Catégorie D,CSO,80,Niveau2,GrandPrix,0,18,4,0.3,0,0.3,0,0.3,0.09,0.0,1.2,0.24,1.2,0.24,0.36,12.0,42,1
2509086,3884,3065,988,FALCO DES VIALETTES,CAMILLE BOEDEC,STE EQUESTRE L ETRIER (75),Hongre,Bai,Catégorie D,CSO,80,Niveau2,GrandPrix,0,18,4,0.3,0,0.3,0,0.3,0.09,0.0,1.2,0.24,1.2,0.24,0.36,12.0,46,1
2509086,3889,3068,988,DUNROSS DARK ANGEL,VIOLETTE TREMEY,STE EQUESTRE L ETRIER (75),Femelle,Gris,Catégorie D,CSO,80,Niveau2,GrandPrix,0,18,4,0.3,0,0.3,0,1.0,0.09,0.0,1.2,0.24,1.2,0.24,0.36,6.0,60,0
2509086,3690,3070,919,SAPHIRA DE TANNACH,JEANNE COLOTTE HAMEAU,CENTRE EQUESTRE DE SAINT LEU (77),Femelle,Bai,Catégorie D,CSO,80,Niveau2,GrandPrix,0,18,4,0.3,0,0.3,0,0.0,0.09,0.0,1.2,0.24,1.2,0.24,0.36,6.0,61,0
2509086,3870,3071,972,AAHOOT DE OOPSS,LYLOU DESOUSA,ARBONNE EQUITATION (77),Mâle,Bai Pie,Catégorie D,CSO,80,Niveau2,GrandPrix,0,18,4,0.3,0,0.3,0,0.0,0.09,0.0,1.2,0.24,1.2,0.24,0.36,6.0,67,0
2509086,3887,3067,988,BELLA ROCHE,BLANCHE LAURENT,STE EQUESTRE L ETRIER (75),Femelle,Alezan,Catégorie D,CSO,80,Niveau2,GrandPrix,0,18,4,0.3,0,0.3,0,0.5,0.09,0.0,1.2,0.24,1.2,0.24,0.36,6.0,71,0
2509086,3884,3072,988,FALCO DES VIALETTES,CELESTE CIFONELLI,STE EQUESTRE L ETRIER (75),Hongre,Bai,Catégorie D,CSO,80,Niveau2,GrandPrix,0,18,4,1.0,1,0.3,0,0.3333333333333333,0.3,0.1111111111111111,4.0,0.8,1.2,0.24,1.2,6.0,72,0
2509086,3541,2741,919,BOY DU CHATELET,THAIS MASSIN,CENTRE EQUESTRE DE SAINT LEU (77),Hongre,Bai,Catégorie D,CSO,80,Niveau2,GrandPrix,0,18,4,0.3,0,0.3,0,0.0,0.09,0.0,1.2,0.24,1.2,0.24,0.36,0.0,76,0
2509086,3542,2742,920,URIANNE CABOTTE,CELIA QUENEUTTE,RAPHAELE MALLET ENTREPRISE (77),Femelle,Noir Pangare,Catégorie D,CSO,80,Niveau2,GrandPrix,0,18,4,0.3,0,0.3,0,0.3,0.09,0.0,1.2,0.24,1.2,0.24,0.36,0.0,78,0
2509086,3828,3001,714,DANSEUR DU LEVANT,LOUISE BARRAULT,ECURIES DE NONVILLE (77),Mâle,Alezan,Catégorie F,CSO,85,Niveau2,GrandPrix,0,12,4,0.3,0,0.3,0,0.3,0.09,0.0,1.2,0.255,1.2,0.255,0.36,6.0,49,0
2509086,3006,3042,766,JESSY,ALICIA CHU,LES ECURIES DES COUDRIERS EARL (77),Femelle,Bai,Catégorie D,CSO,85,Niveau2,GrandPrix,0,12,4,0.0,1,0.0,1,0.3333333333333333,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,64,0
2509086,3869,3043,986,ESTRELA,JUSTINE ARMANT,LES ECURIES DU CALIS (91),Femelle,Bai Pie,Catégorie D,CSO,85,Niveau2,GrandPrix,0,12,4,0.3,0,0.3,0,0.3,0.09,0.0,1.2,0.255,1.2,0.255,0.36,0.0,59,0
2509086,1026,3044,267,BELLE DE BALLON,CHARLOTTE HAMONNIERE,ECURIES DE BOIS D ARCY (78),Femelle,Alezan,Catégorie F,CSO,85,Niveau2,GrandPrix,0,12,4,1.0,1,0.3,0,0.5,0.3,0.10526315789473684,4.0,0.85,1.2,0.255,1.2,12.0,26,1
2509086,3756,2940,953,INCANTO DE LA FOSSE,ELODIE GRANDIN,ECURIES DE SAMOIS (77),Mâle,Bai,Catégorie E,CSO,85,Niveau2,GrandPrix,0,12,4,0.3,0,0.3,0,0.3333333333333333,0.09,0.0,1.2,0.255,1.2,0.255,0.36,12.0,27,1
2509086,2999,2213,769,ELEGANTE DE DAYE,LILOU LOESEL,PONEY CLUB DU LORMOY (91),Femelle,Isabelle,Catégorie E,CSO,85,Niveau2,GrandPrix,0,12,4,0.3,0,0.3,0,0.0,0.09,0.0,1.2,0.255,1.2,0.255,0.36,6.0,46,0
2509086,1026,3045,267,BELLE DE BALLON,AMANDINE FERREIRA,ECURIES DE BOIS D ARCY (78),Femelle,Alezan,Catégorie F,CSO,85,Niveau2,GrandPrix,0,12,4,1.0,2,0.3,0,0.5714285714285714,0.3,0.21052631578947367,4.0,0.85,1.2,0.255,1.2,12.0,20,1
2509086,1020,3046,267,BONUS DE REVILLE,MARJORIE SEYER,ECURIES DE BOIS D ARCY (78),Hongre,Bai,Catégorie F,CSO,85,Niveau2,GrandPrix,0,12,4,1.0,1,0.3,0,0.625,0.3,0.10526315789473684,4.0,0.85,1.2,0.255,1.2,12.0,24,1
2509086,3870,3047,972,AAHOOT DE OOPSS,CORINNE PROUX,ARBONNE EQUITATION (77),Mâle,Bai Pie,Catégorie D,CSO,85,Niveau2,GrandPrix,0,12,4,0.0,1,0.3,0,0.0,0.0,0.10526315789473684,0.0,0.0,1.2,0.255,0.0,12.0,28,1
